Artist,Genre/Style,Stage,Day,Date,Set Time,Priority,Notes
Heidi Lawden b2b Masha Mar,House / Techno,bionicJUNGLE,FRIDAY,5/15/2026,5:00 PM,Undecided,
Max Dean b2b Luke Dean,Tech House,cosmicMEADOW,FRIDAY,5/15/2026,5:00 PM,Undecided,
1991,Drum & Bass,circuitGROUNDS,FRIDAY,5/15/2026,7:00 PM,Undecided,
Abana b2b Juliet Mendoza,House,stereoBLOOM,FRIDAY,5/15/2026,7:00 PM,Undecided,
DØMINA,Hard Techno,wasteLAND,FRIDAY,5/15/2026,7:00 PM,Undecided,
Jackie Hollander,Melodic House / Techno,cosmicMEADOW,FRIDAY,5/15/2026,7:00 PM,Undecided,
Laidback Luke b2b Chuckie,Electro House,kineticFIELD,FRIDAY,5/15/2026,7:00 PM,Undecided,
RIOT,Dubstep / Bass,bassPOD,FRIDAY,5/15/2026,7:00 PM,Undecided,
The Masquerade,Dubstep / Bass,bassPOD,FRIDAY,5/15/2026,7:50 PM,Undecided,
Sarah de Warren,Trance,quantumVALLEY,FRIDAY,5/15/2026,7:00 PM,Undecided,
Stacy Christine,Techno / House,bionicJUNGLE,FRIDAY,5/15/2026,7:00 PM,Undecided,
ANASTAZJA,Techno / Deep House,neonGARDEN,FRIDAY,5/15/2026,8:00 PM,Undecided,
BOU,Drum & Bass,circuitGROUNDS,FRIDAY,5/15/2026,8:00 PM,Undecided,
HEYZ,Dubstep / Bass,bassPOD,FRIDAY,5/15/2026,8:40 PM,Undecided,
Korolova,Melodic Techno,kineticFIELD,FRIDAY,5/15/2026,8:00 PM,Undecided,
Matty Ralph,Trance,quantumVALLEY,FRIDAY,5/15/2026,8:00 PM,Undecided,
Roddy Lima,Tech House,cosmicMEADOW,FRIDAY,5/15/2026,8:00 PM,Undecided,
Slamm,Trance / Techno,stereoBLOOM,FRIDAY,5/15/2026,8:00 PM,Undecided,
The Carry Nation,House,bionicJUNGLE,FRIDAY,5/15/2026,8:00 PM,Undecided,
Mëstiza,Techno / Deep House,neonGARDEN,FRIDAY,5/15/2026,8:30 PM,Undecided,
MUZZ,Dubstep / Bass,bassPOD,FRIDAY,5/15/2026,9:30 PM,Undecided,
